names,date_x,score,genre,overview,crew,orig_title,orig_lang,budget_x,revenue,country,season,event_week,budget_ranges,sequels,star_actor,audienceScore
creed iii,3/2/2023,73,"Drama, Action","After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damien Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damien — a fighter who has nothing to lose.","Michael B. Jordan, Adonis Creed, Tessa Thompson, Bianca Taylor, Jonathan Majors, Damien Anderson, Wood Harris, Tony 'Little Duke' Evers, Phylicia Rashād, Mary Anne Creed, Mila Davis-Kent, Amara Creed, Florian Munteanu, Viktor Drago, José Benavidez Jr., Felix Chavez, Selenis Leyva, Laura Chavez",Creed III,English,75000000.0,271616668.0,AU,Spring,None,Mid Budget,0,0,
avatar: the way of water,12/15/2022,78,"Science Fiction, Adventure, Action","Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.","Sam Worthington, Jake Sully, Zoe Saldaña, Neytiri, Sigourney Weaver, Kiri / Dr. Grace Augustine, Stephen Lang, Colonel Miles Quaritch, Kate Winslet, Ronal, Cliff Curtis, Tonowari, Joel David Moore, Norm Spellman, CCH Pounder, Mo'at, Edie Falco, General Frances Ardmore",Avatar: The Way of Water,English,460000000.0,2316794914.0,AU,Winter,None,Big Budget,0,0,
the super mario bros. movie,4/5/2023,76,"Animation, Adventure, Family, Fantasy, Comedy","While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.","Chris Pratt, Mario (voice), Anya Taylor-Joy, Princess Peach (voice), Charlie Day, Luigi (voice), Jack Black, Bowser (voice), Keegan-Michael Key, Toad (voice), Seth Rogen, Donkey Kong (voice), Fred Armisen, Cranky Kong (voice), Kevin Michael Richardson, Kamek (voice), Sebastian Maniscalco, Spike (voice)",The Super Mario Bros. Movie,English,100000000.0,724459031.0,AU,Spring,None,Mid Budget,0,0,
mummies,1/5/2023,70,"Animation, Comedy, Family, Adventure, Fantasy","Through a series of unfortunate events, three mummies end up in present-day London and embark on a wacky and hilarious journey in search of an old ring belonging to the Royal Family, stolen by ambitious archaeologist Lord Carnaby.","Óscar Barberán, Thut (voice), Ana Esther Alborg, Nefer (voice), Luis Pérez Reina, Carnaby (voice), María Luisa Solá, Madre (voice), Jaume Solà, Sekhem (voice), José Luis Mediavilla, Ed (voice), José Javier Serrano Rodríguez, Danny (voice), Aleix Estadella, Dennis (voice), María Moscardó, Usi (voice)",Momias,"Spanish, Castilian",12300000.0,34200000.0,AU,Winter,None,Low Budget,0,0,
supercell,3/17/2023,61,Action,"Good-hearted teenager William always lived in hope of following in his late father’s footsteps and becoming a storm chaser. His father’s legacy has now been turned into a storm-chasing tourist business, managed by the greedy and reckless Zane Rogers, who is now using William as the main attraction to lead a group of unsuspecting adventurers deep into the eye of the most dangerous supercell ever seen.","Skeet Ulrich, Roy Cameron, Anne Heche, Dr Quinn Brody, Daniel Diemer, William Brody, Jordan Kristine Seamón, Harper Hunter, Alec Baldwin, Zane Rogers, Richard Gunn, Bill Brody, Praya Lundberg, Amy, Johnny Wactor, Martin, Anjul Nigam, Ramesh",Supercell,English,77000000.0,340941958.6,US,Spring,None,Mid Budget,0,0,
cocaine bear,2/23/2023,66,"Thriller, Comedy, Crime","Inspired by a true story, an oddball group of cops, criminals, tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.","Keri Russell, Sari, Alden Ehrenreich, Eddie, O'Shea Jackson Jr., Daveed, Ray Liotta, Syd, Kristofer Hivju, Olaf (Kristoffer), Margo Martindale, Ranger Liz, Christian Convery, Henry, Isiah Whitlock Jr., Bob, Jesse Tyler Ferguson, Peter",Cocaine Bear,English,35000000.0,80000000.0,AU,Winter,None,Low Budget,0,1,
john wick: chapter 4,3/23/2023,80,"Action, Thriller, Crime","With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","Keanu Reeves, John Wick, Donnie Yen, Caine, Bill Skarsgård, Marquis de Gramont, Ian McShane, Winston, Laurence Fishburne, Bowery King, Lance Reddick, Charon, Clancy Brown, The Harbinger, Hiroyuki Sanada, Shimazu, Shamier Anderson, Mr Nobody",John Wick: Chapter 4,English,100000000.0,351349364.0,AU,Spring,None,Mid Budget,1,0,
puss in boots: the last wish,12/26/2022,83,"Animation, Family, Fantasy, Adventure, Comedy","Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.","Antonio Banderas, Puss in Boots (voice), Salma Hayek, Kitty Softpaws (voice), Harvey Guillén, Perrito (voice), Wagner Moura, Wolf (voice), Florence Pugh, Goldilocks (voice), Olivia Colman, Mama Bear (voice), Ray Winstone, Papa Bear (voice), Samson Kayo, Baby Bear (voice), John Mulaney, Jack Horner (voice)",Puss in Boots: The Last Wish,English,90000000.0,483480577.0,AU,Winter,Christmas,Mid Budget,0,0,
attack on titan,9/30/2022,59,"Action, Science Fiction","As viable water is depleted on Earth, a mission is sent to Saturn's moon Titan to retrieve sustainable H2O reserves from its alien inhabitants. But just as the humans acquire the precious resource, they are attacked by Titan rebels, who don't trust that the Earthlings will leave in peace.","Paul Bianchi, Computer (voice), Erin Coker, Allison Quince, Jack Pearson, Max Reece, Anthony Jensen, Jowers, Neli Sabour, Heidi Quince, Karan Sagoo, Adrian Naidu, Natalie Storrs, Saoirse Parker, Justin Tanks, Mark Morales, Jenny Tran, Kim Costa",Attack on Titan,English,71000000.0,254946484.2,US,Autumn,None,Mid Budget,0,0,
the park,3/2/2023,58,"Action, Drama, Horror, Science Fiction, Thriller","A dystopian coming-of-age movie focused on three kids who find themselves in an abandoned amusement park, aiming to unite whoever remains. With dangers lurking around every corner, they will do whatever it takes to survive their hellish Neverland.","Chloe Guidry, Ines, Nhedrick Jabier, Bui, Carmina Garay, Kuan, Billy Slaughter, Martin Parker, Carli McIntyre, Rue, Laura Coover, Reporter, Presley Richardson, Bennett, Sean Papajohn, Jack, Legend Jay Jones, Slingshot Gang",The Park,English,119200000.0,488962491.0,US,Spring,None,Mid Budget,0,1,
winnie the pooh: blood and honey,2/14/2023,58,"Horror, Thriller","Christopher Robin is headed off to college and he has abandoned his old friends, Pooh and Piglet, which then leads to the duo embracing their inner monsters.","Craig David Dowsett, Pooh Bear, Chris Cordell, Piglet, Amber Doig-Thorne, Alice, Natasha Tosini, Lara, Maria Taylor, Maria, Nikolai Leon, Christopher Robin, May Kelly, Tina, Danielle Ronald, Zoe, Danielle Scott, Charlene",Winnie the Pooh: Blood and Honey,English,100000.0,3200000.0,AU,Winter,Valentine's Week,Low Budget,0,1,
the exorcist,11/2/2022,55,Horror,"Ophelia, a young nun recently arriving in the town of San Ramon, is forced to perform an exorcism on a pregnant woman in danger of dying. Just when she thinks her possession has ended, she discovers that the evil presence hasn't disappeared yet. The director of the award-winning Here Comes the Devil and Late Phases adds a new twist to possession movies in one of this year's Latin American horror surprises.","María Evoli, Ofelia, Diana Bracho, , Tina Romero, Julia, Norma Lazareno, Señora Ramirez, Pilar Santacruz, Sandra, Salvador Sánchez, Señor Ramirez, Julio Bracho, Padre Victor, Ramón Medína, Fabian",La Exorcista,"Spanish, Castilian",12000000.0,428214478.0,MX,Autumn,None,Low Budget,0,1,
murder mystery 2,3/31/2023,65,"Comedy, Mystery, Action","After starting their own detective agency, Nick and Audrey Spitz land a career-making case when their billionaire pal is kidnapped from his wedding.","Adam Sandler, Nick, Jennifer Aniston, Audrey, Mark Strong, Miller, Mélanie Laurent, Claudette, Jodie Turner-Smith, Countess Sekou, John Kani, Colonel Ulenga, Kuhoo Verma, Saira, Dany Boon, Inspector Delacroix, Adeel Akhtar, The Maharajah",Murder Mystery 2,English,43800000.0,489543087.4,AU,Spring,None,Low Budget,1,0,
black panther: wakanda forever,11/10/2022,73,"Action, Adventure, Science Fiction","Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.","Letitia Wright, Shuri / Black Panther, Lupita Nyong'o, Nakia, Danai Gurira, Okoye, Winston Duke, M'Baku, Dominique Thorne, Riri Williams / Ironheart, Tenoch Huerta Mejía, Namor, Angela Bassett, Ramonda, Florence Kasumba, Ayo, Michaela Coel, Aneka",Black Panther: Wakanda Forever,English,250000000.0,854041058.0,AU,Autumn,None,Big Budget,0,0,
the pope's exorcist,4/6/2023,72,"Horror, Mystery","Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.","Russell Crowe, Father Gabriele Amorth, Daniel Zovatto, Father Esquibel, Alex Essoe, Julia, Franco Nero, The Pope, Laurel Marsden, Amy, Cornell John, Bishop Lumumba, Ralph Ineson, Demon (voice), River Hawkins, Enzo, Pablo Raybould, Bishop Barbuto",The Pope's Exorcist,English,92000000.0,462216471.8,AU,Spring,None,Mid Budget,0,1,
prizefighter: the life of jem belcher,7/22/2022,62,"Drama, History","At the turn of the 19th century, Pugilism was the sport of kings and a gifted young boxer fought his way to becoming champion of England.","Matt Hookings, Jem Belcher, Ray Winstone, Bill Warr, Jodhi May, Mary Belcher, Marton Csokas, Lord Rushworth, Russell Crowe, Jack Slack, Steven Berkoff, Walter, Julian Glover, Lord Ashford",Prizefighter: The Life of Jem Belcher,English,77600000.0,562112551.0,GB,Summer,None,Mid Budget,0,0,
knock at the cabin,2/2/2023,64,"Thriller, Mystery, Horror, Fantasy","While vacationing at a remote cabin, a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world, the family must decide what they believe before all is lost.","Dave Bautista, Leonard, Jonathan Groff, Eric, Ben Aldridge, Andrew, Kristen Cui, Wen, Nikki Amuka-Bird, Sabrina, Rupert Grint, Redmond, Abby Quinn, Adriane, Clare Louise Frost, Infomercial Co-Host, McKenna Kerrigan, Andrew's Mom",Knock at the Cabin,English,20000000.0,54629497.0,AU,Winter,None,Low Budget,0,1,
the devil conspiracy,1/13/2023,65,"Horror, Thriller","The hottest biotech company in the world has discovered they can clone history’s most influential people from the dead. Now, they are auctioning clones of Michelangelo, Galileo, Vivaldi, and others for tens of millions of dollars to the world’s ultra-rich. But when they steal the Shroud of Turin and clone the DNA of Jesus Christ, all hell breaks loose.","Alice Orr-Ewing, Laura, Joe Doyle, Father Marconi / Michael, Eveline Hall, Liz, Peter Mensah, Archangel Michael, Joe Anderson, Lucifer, Brian Caspe, Dr. Laurent, Spencer Wilding, Beast of the Ground, James Faulkner, Cardinal Vincini, Victoria Chilap, Brenda",The Devil Conspiracy,English,54060000.0,492646395.4,US,Winter,None,Mid Budget,0,1,
cazadora,1/19/2023,57,Thriller,"In a dystopian future, a mother and her teenage son go hunting in the mountains and encounter a stranger who threatens to upend their relationship.","Natalia Reddersen, Rena, Willy Semler, Salvador, Alexandra Von Hummel, Emilia, Felipe Valenzuela, Mateo",Cazadora,"Spanish, Castilian",110400000.0,318117812.6,CL,Winter,None,Mid Budget,0,0,
gold run,12/15/2022,65,"War, Action, Adventure, Thriller","Fredrik isn’t the bravest of men, but now he is faced with a great responsibility and an enormous task - to get the entire Norwegian gold reserve away from the Nazis during the invasion of Norway.","Jon Øigarden, Fredrik Haslund, Ida Elise Broch, Nini Haslund Gleditsch, Sven Nordin, Odd Henry, Eivind Sander, Major Bjørn Sunde, Axel Bøyum, Ingvar, Morten Svartveit, Nordahl Grieg, Anatole Taubman, Major Otto Stoltmann, Thorbjørn Harr, Oscar Torp, Gard B. Eidsvold, Andreas Lund",Gulltransporten,Norwegian,123500000.0,420430064.8,NO,Winter,None,Mid Budget,0,0,
the magician's elephant,3/17/2023,73,"Animation, Adventure, Family, Fantasy","Peter is searching for his long-lost sister when he crosses paths with a fortune teller in the market square. His one one question is: is his sister still alive? The answer, that he must find a mysterious elephant and the magician who will conjure it, sets Peter off on a journey to complete three seemingly impossible tasks that will change the face of his town forever.","Noah Jupe, Peter (voice), Mandy Patinkin, Vilna (voice), Brian Tyree Henry, Leo Matienne (voice), Natasia Demetriou, Narrator / Fortune Teller (voice), Sian Clifford, Gloria Matienne (voice), Benedict Wong, Magician (voice), Miranda Richardson, Madam LaVaughn (voice), Kirby Howell-Baptiste, The Countess (voice), Aasif Mandvi, The King (voice)",The Magician's Elephant,English,82600000.0,473097256.6,AU,Spring,None,Mid Budget,0,0,
plane,1/27/2023,69,"Action, Adventure, Thriller","After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.","Gerard Butler, Brodie Torrance, Mike Colter, Louis Gaspare, Yoson An, Dele, Tony Goldwyn, Scarsdale, Daniella Pineda, Bonnie, Paul Ben-Victor, Hampton, Remi Adeleke, Shellback, Joey Slotnick, Sinclair, Evan Dane Taylor, Junmar",Plane,English,25000000.0,51000000.0,GB,Winter,None,Low Budget,0,0,
batman: the doom that came to gotham,3/28/2023,64,"Animation, Fantasy, Horror, Action, Mystery","Explorer Bruce Wayne accidentally unleashes an ancient evil, and returns to Gotham after being away for two decades. There, Batman battles Lovecraftian supernatural forces and encounters allies and enemies such as Green Arrow, Ra's al Ghul, Mr. Freeze, Killer Croc, Two-Face and James Gordon.","David Giuntoli, Batman / Bruce Wayne (voice), Patrick Fabian, Harvey Dent / Two-Face (voice), John DiMaggio, James Gordon (voice), Karan Brar, Sanjay 'Jay' Tawde (voice), Navid Negahban, Ra's al Ghul (voice), Darin De Paul, Thomas Wayne (voice), Emily O'Brien, Talia al Ghul / Martha Wayne (voice), Christopher Gorham, Oliver Queen / Green Arrow (voice), David Dastmalchian, Grendon (voice)",Batman: The Doom That Came to Gotham,English,145760000.0,321934831.2,US,Spring,None,Mid Budget,0,0,
shazam! fury of the gods,3/16/2023,69,"Action, Comedy, Fantasy","Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.","Zachary Levi, Shazam, Asher Angel, Billy Batson, Jack Dylan Grazer, Freddy Freeman, Grace Caroline Currey, Mary Bromfield / Super Hero Mary, Helen Mirren, Hespera, Lucy Liu, Kalypso, Rachel Zegler, Anthea, Adam Brody, Super Hero Freddy, Meagan Good, Super Hero Darla",Shazam! Fury of the Gods,English,125000000.0,132107025.0,AU,Spring,None,Mid Budget,0,0,
consecration,2/10/2023,65,"Horror, Thriller","After the alleged suicide of her priest brother, Grace travels to the remote Scottish convent where he fell to his death. Distrusting the Church's account, she uncovers murder, sacrilege and a disturbing truth about herself.","Jena Malone, Grace, Danny Huston, Father Romero, Thoren Ferguson, DCI Harris, Janet Suzman, Mother Superior, Ian Pirie, Vincent, Steffan Cennydd, Michael, Will Keen, , Alexandra Lewis, Sister Beth, Kit Rakusen, Young Michael",Consecration,English,54060000.0,492646395.4,US,Winter,Valentine's Week,Mid Budget,0,1,
shark side of the moon,8/12/2022,53,"Action, Science Fiction, Thriller, Horror","Decades ago, the USSR developed unkillable sharks and launched them to the moon. Today, a team of American astronauts will endure the fight of their lives.","Maxi Witrak, Commander Nicole Tress, Ego Mikitas, Sergei, Michael Marcel, Michael Kelly, Tania Fox, Akula, Konstantin Podprugin, Henri, Lindsey Marie Wilson, Elli Waters, Lydia Hunter, Josie, Reginald Stalling III, Tom, Terrance Livingston Jr., Liam",Shark Side of the Moon,English,10000.0,17887093.8,US,Summer,None,Low Budget,0,1,
black adam,10/20/2022,71,"Action, Adventure, Science Fiction, Fantasy","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.","Dwayne Johnson, Black Adam / Teth Adam, Aldis Hodge, Hawkman / Carter Hall, Noah Centineo, Atom Smasher / Al Rothstein, Sarah Shahi, Adrianna Tomaz, Quintessa Swindell, Cyclone / Maxine Hunkel, Marwan Kenzari, Ishmael / Sabbac / King Ahk-Ton, Mo Amer, Karim, Bodhi Sabongui, Amon Tomaz, Pierce Brosnan, Dr. Fate / Kent Nelson",Black Adam,English,200000000.0,391261706.0,AU,Autumn,None,Big Budget,0,0,
money shot: the pornhub story,3/15/2023,58,Documentary,"Featuring interviews with performers, activists and past employees, this documentary offers a deep dive into the successes and scandals of Pornhub.","Noelle Perdue, Self - Porn Industry Professional, Mike Stabile, Self - Porn Industry Advocate / Director of Public Affairs, FSC, Siri, Self - Porn Performer, Wolf Hudson, Self - Porn Performer, Martin Patriquin, Self - Journalist, The Logic, Bree Mills, Self - Porn Director, Cherie DeVille, Self - Porn Performer, Asa Akira, Self - Pornhub Ambassador, Natassia Dreams, Self - Pornhub Ambassador",Money Shot: The Pornhub Story,English,68500000.0,280052393.0,US,Spring,None,Mid Budget,0,0,
m3gan,1/12/2023,74,"Science Fiction, Horror, Comedy","A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.","Allison Williams, Gemma, Violet McGraw, Cady, Jenna Davis, M3GAN (voice), Amie Donald, M3GAN, Jen Van Epps, Tess, Brian Jordan Alvarez, Cole, Ronny Chieng, David Lin, Stephane Garneau-Monten, Kurt, Amy Usherwood, Lydia",M3GAN,English,12000000.0,167643991.0,AU,Winter,None,Low Budget,0,0,
ant-man and the wasp: quantumania,2/16/2023,63,"Science Fiction, Adventure, Action","Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.","Paul Rudd, Scott Lang / Ant-Man, Evangeline Lilly, Hope van Dyne / The Wasp, Jonathan Majors, Kang the Conqueror, Kathryn Newton, Cassie Lang, Michelle Pfeiffer, Janet van Dyne, Michael Douglas, Dr. Hank Pym, Corey Stoll, M.O.D.O.K., Bill Murray, Lord Krylar, William Jackson Harper, Quaz",Ant-Man and the Wasp: Quantumania,English,200000000.0,466001332.0,AU,Winter,None,Big Budget,0,0,
sayen,3/3/2023,62,"Thriller, Action","Sayen is hunting down the men who murdered her grandmother. Using her training and knowledge of nature, she is able to turn the tables on them, learning of a conspiracy from a corporation that threatens her people's ancestral lands.","Rallén Montenegro, Sayen, Arón Piper, Antonio Torres, Enrique Arce, Máximo Torres, Roberto García Ruiz, Bykov, Loreto Aravena, Miranda, Alejandro Trejo, Lira, Eduardo Paxeco, Rubén, Camilo Arancibia, José, Teresa Ramos, Ilwen",Sayen,"Spanish, Castilian",73800000.0,370426090.8,CL,Spring,None,Mid Budget,0,0,
die hart,2/24/2023,62,"Action, Comedy, Thriller","Kevin Hart - playing a version of himself - is on a death-defying quest to become an action star. And with a little help from John Travolta, Nathalie Emmanuel, and Josh Hartnett - he just might pull it off.","Kevin Hart, Kevin Hart, John Travolta, Ron Wilcox, Nathalie Emmanuel, Jordan King, Jean Reno, Claude Van De Velde, Josh Hartnett, Josh, Kenneth Trujillo, Diego, Joshua Lamboy, Ortiz, Brandon Quinn, Danny Morrison, Milana Vayntrub, Leah",Die Hart,English,113000000.0,369995579.2,US,Winter,None,Mid Budget,0,0,
13 exorcisms,11/4/2022,55,"Drama, Horror","After participating in a séance, young Laura begins to behave strangely. Alarmed, her parents ask Father Olmedo, one of the few exorcists authorized by the Vatican to intervene in cases of demonic possession, for help.","María Romanillos, Laura, Ruth Díaz, Carmen, Urko Olazábal, Tomás, Pablo Revuelta, Jesús, José Sacristán, Padre Olmedo, Daniela Bini, Niña Demonio, Cristina Castaño, Asunción, Silma López, Lola, Daniel Arias, Enrique",13 exorcismos,"Spanish, Castilian",2480000.0,1891519.0,ES,Autumn,None,Low Budget,0,1,
h.p. lovecraft's witch house,6/29/2022,60,Horror,"Determined to prove the possibility of alternate dimensions, a graduate student unknowingly unlocks a gateway to unimaginable horror. Based on the H.P. Lovecraft's short story The Dreams in the Witch House.","Portia Chellelynn, Alice, Julie Anne Prescott, Tommi, Andrea Collins, Keziah Mason, Erin Trimble, Kelly, Solon Tsangaras, Brown Jenkin, John Johnson, Professor Sherfick, Shonda Laverty, , Bill Levin, Vespuli, Joe Padgett, Joe",H.P. Lovecraft's Witch House,English,146740000.0,301123555.2,US,Summer,None,Mid Budget,0,1,
sick,9/24/2022,63,"Horror, Thriller","In the midst of the pandemic, college student Parker and her best friend Miri decide to self-quarantine at her family's lake house, where they will be alone — or so they think.","Gideon Adlon, Parker, Bethlehem Million, Miri, Dylan Sprayberry, DJ, Marc Menchaca, Jason, Jane Adams, Pamela, Joel Courtney, Tyler, Chris Reid, Jeb, Duane Stephens, Mr. Lyons, Logan Murphy, Benji",Sick,English,81800000.0,408307377.8,US,Autumn,None,Mid Budget,0,0,
black warrant,3/1/2023,54,"Action, Thriller",A semi-retired special ops assassin and a DEA agent cross paths on separate missions to stop a cyber terrorist organization that has built a dangerous machine threatening to attack the power grid and bring catastrophe to the world.,"Tom Berenger, Nick Falconi, Cam Gigandet, Anthony, Jeff Fahey, LaRusso, Jonathan Avigdori, Sadiq, Sara Seyed, Rashida, Rafael Cabrera, Zico, Rodrigo Abed, Capitan Escalante, Tonantzin Esparza, Carmen",Black Warrant,English,116000000.0,378399280.8,AU,Spring,None,Mid Budget,0,0,
shotgun wedding,1/26/2023,63,"Action, Comedy, Romance","Darcy and Tom gather their families for the ultimate destination wedding but when the entire party is taken hostage, “’Til Death Do Us Part” takes on a whole new meaning in this hilarious, adrenaline-fueled adventure as Darcy and Tom must save their loved ones—if they don’t kill each other first.","Jennifer Lopez, Darcy, Josh Duhamel, Tom, Jennifer Coolidge, Carol, Sônia Braga, Renata, Lenny Kravitz, Sean, D'Arcy Carden, Harriet, Cheech Marin, Robert, Selena Tan, Marge, Desmin Borges, Ricky",Shotgun Wedding,English,16050000.0,4495365.0,AU,Winter,None,Low Budget,0,1,
legion of super-heroes,2/7/2023,63,"Animation, Action, Science Fiction","Kara, devastated by the loss of Krypton, struggles to adjust to her new life on Earth. Her cousin, Superman, mentors her and suggests she leave their space-time to attend the Legion Academy in the 31st century, where she makes new friends and a new enemy: Brainiac 5. Meanwhile, she must contend with a mysterious group called the Dark Circle as it searches for a powerful weapon held in the Academy’s vault.","Meg Donnelly, Supergirl / Kara (voice), Harry Shum Jr., Brainiac 5 (voice), Darren Criss, Superman (voice), Jensen Ackles, Batman (voice), Matt Bomer, The Flash (voice), Cynthia Hamidi, Dawnstar (voice), Yuri Lowenthal, Mon El (voice), Gideon Adlon, Phantom Girl (voice), Ely Henry, Bouncing Boy (voice)",Legion of Super-Heroes,English,113400000.0,778431865.2,US,Winter,Valentine's Week,Mid Budget,0,0,
fall,9/22/2022,73,"Thriller, Drama","For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights","Grace Caroline Currey, Becky, Virginia Gardner, Hunter, Jeffrey Dean Morgan, James, Mason Gooding, Dan Connor, Jasper Cole, Dog Walker Dan, Darrell Dennis, Randy, Julia Pace Mitchell, Waitress",Fall,English,3000000.0,16120263.0,AU,Autumn,None,Low Budget,0,1,
lord of the streets,4/22/2022,52,Action,"When Jason Dyson refuses to make his prized fighter throw an MMA match, a notorious gangster collects his debt by killing the fighter and kidnapping Jason's daughter. Now he must train a prisoner to endure five consecutive underground fights to save her.","Treach, Jason Dyson, Quinton Jackson, Kane, Khalil Rountree Jr., Damon Stone, Anderson Silva, Axel, Richard Grieco, Detective Kayes, A.J. McKee, Tre Jordan, Gigi Gustin, Sasha, Meredith Thomas, Teresa, Ashley Doris, Valery Dyson",Lord of the Streets,English,1000000.0,22790427.2,US,Spring,None,Low Budget,0,0,
little dixie,2/3/2023,60,"Thriller, Action, Drama, Crime","Erstwhile Special Forces operative Doc Alexander is asked to broker a truce with the Mexican drug cartel in secrecy. When Oklahoma Governor Richard Jeffs celebrates the execution of a high-ranking cartel member on TV, his Chief of Staff and Doc inform him about the peace he just ended. But it’s too late, as Cuco, the cartel’s hatchet man, has set his vengeful sights on Doc’s daughter Dixie.","Frank Grillo, Doc Alexander, Eric Dane, Governor Richard Jeffs, Annabeth Gish, Billie Riggs, Mercedes Mason, Julie Reed, Peter Greene, Karl Roach, Beau Knapp, Raphael 'Cuco' Prado, Thomas Dekker, Clarke Moore, Maurice Compte, Lalo Miguel Prado, Sufe Bradshaw, Carla",Little Dixie,English,141340000.0,748525217.4,US,Winter,None,Mid Budget,0,1,
the whale,2/2/2023,81,Drama,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,"Brendan Fraser, Charlie, Sadie Sink, Ellie, Hong Chau, Liz, Ty Simpkins, Thomas, Samantha Morton, Mary, Sathya Sridharan, Dan The Pizza Man, Jacey Sink, Young Ellie, Wilhelm Schalaudek, Liam (uncredited)",The Whale,English,3000000.0,36752010.0,AU,Winter,None,Low Budget,0,1,
prey for the devil,10/28/2022,71,"Horror, Thriller","In response to a global rise in demonic possessions, the Catholic Church reopens exorcism schools to train priests in the Rite of Exorcism. On this spiritual battlefield, an unlikely warrior rises: a young nun, Sister Ann. Thrust onto the spiritual frontline with fellow student Father Dante, Sister Ann finds herself in a battle for the soul of a young girl and soon realizes the Devil has her right where he wants her.","Jacqueline Byers, Sister Ann, Colin Salmon, Father Quinn, Christian Navarro, Father Dante, Lisa Palfrey, Sister Euphemia, Nicholas Ralph, Father Raymond, Ben Cross, Cardinal Matthews, Virginia Madsen, Dr. Peters, Tom Forbes, Matt, Velizar Binev, Father Bernhard",Prey for the Devil,English,27240305.0,37655699.0,US,Autumn,Halloween,Low Budget,0,0,
bandit,9/23/2022,62,"Crime, Drama, Thriller","After escaping a Michigan prison, a charming career criminal assumes a new identity in Canada and goes on to rob a record 59 banks and jewellery stores while being hunted by a rogue task force. Based on the story of The Flying Bandit.","Josh Duhamel, Gilbert Galvan Jr/Robert Whiteman, Elisha Cuthbert, Andrea, Mel Gibson, Tommy, Nestor Carbonell, Snydes, Lorenzo Yearby, Ben, Swen Temmel, Hoffman, Keith Arthur Bolden, Diamond Dave, Dylan Flashner, Bishop, Olivia d'Abo, Linda",Bandit,English,115000000.0,484414431.0,US,Autumn,None,Mid Budget,0,1,
roald dahl's matilda the musical,12/8/2022,68,"Family, Comedy, Fantasy","An extraordinary young girl discovers her superpower and summons the remarkable courage, against all odds, to help others change their stories, whilst also taking charge of her own destiny. Standing up for what's right, she's met with miraculous results.","Alisha Weir, Matilda Wormwood, Emma Thompson, Agatha Trunchbull, Lashana Lynch, Miss Honey, Stephen Graham, Mr. Wormwood, Andrea Riseborough, Mrs. Wormwood, Sindhu Vee, Mrs. Phelps, Charlie Hodson-Prior, Bruce Bogtrotter, Meesha Garbett, Hortensia, Rei Yamauchi Fulker, Lavender",Roald Dahl's Matilda the Musical,English,25000000.0,13276499.0,AU,Winter,None,Low Budget,0,0,
