names,date_x,score,genre,overview,crew,orig_title,orig_lang,budget_x,revenue,country,season,event_week,budget_ranges,sequels,star_actor,audienceScore
weird: the al yankovic story,3/2/2023,69,"Music, Comedy","Exploring every facet of ‘Weird Al’ Yankovic’s life, from his meteoric rise to fame with early hits like ‘Eat It’ and ‘Like a Surgeon’ to his torrid celebrity love affairs and famously depraved lifestyle, this biopic takes audiences on a truly unbelievable journey through Yankovic’s life and career, from gifted child prodigy to the greatest musical legend of all time.","Daniel Radcliffe, 'Weird Al' Yankovic, Evan Rachel Wood, Madonna, Rainn Wilson, Dr. Demento, Toby Huss, Nick Yankovic, Jack Lancaster, Jim, Spencer Treat Clark, Steve, Tommy O'Brien, Bermuda, Arturo Castro, Pablo Escobar, Julianne Nicholson, Mary Yankovic",Weird: The Al Yankovic Story,English,12000000.0,238918244.6,AU,Spring,None,Low Budget,0,0,
the marco effect,5/27/2021,59,"Thriller, Crime","When 14-year-old Marco, a homeless Romani boy, is arrested at the Danish border for possession of a missing public servant's passport, police inspector Carl Mørck and his Department Q team are tasked with finding the connection. The old case contains several suspicious elements: The public servant was accused of pedophilia shortly before he disappeared, and his case was closed unusually quickly. But the silent, traumatized Marco refuses to talk to them and it's not long before he's on the run from those who intend to kill him because of what he knows.","Ulrich Thomsen, Carl Mørck, Sofie Torp, Rose Knudsen, Anders Matthesen, Teis Snap, Zaki Youssef, Hafez el-Assad, Helle Pilar Larsen, Nurse, Henrik Noël Olesen, Marcus Jacobsen, Lisa Carlehed, Mona, Thomas W. Gabrielsson, Hardy, Caspar Phillipson, Rene Eriksen",Marco effekten,Danish,7570000.0,39200.0,DK,Spring,None,Low Budget,0,0,
lola,2/28/2023,0,"Drama, Science Fiction","Centres on the sisters as they initially use the machine to discover music from future and place bets, before realising it will best be used to help fight the Nazis. But when the sisters clash, the consequences are catastrophic.","Emma Appleton, Thomasina Hanbury, Stefanie Martini, Martha Hanbury, Rory Fleck-Byrne, Lieutenant Sebastien Holloway, Aaron Monaghan, Cobcroft, Shaun Boylan, Reginald Watson, Hugh O'Conor, Enoch, Ayvianna Snow, Rebecca Cavendish, Philip Condron, Aryan",LOLA,English,221940000.0,178359863.0,IE,Winter,None,Big Budget,0,0,
spectre: genesis,4/8/2023,0,"Action, Crime, Drama",The journey begins for The Spectre and The Sentinel.,"Eli Jackson, Conner Reid / The Spectre, Anthony Carbone, Viktor Valentino / The Sentinel, Thomas Tyrell, Xander West / Abaddon, Josiah Todd, The Sanronin, Jessica Lowden, Ava Green, Caleb Pieri, Owen Taylor, Sancia Turner, Nova Davis, Paul Griffiths, Detective Paul Newton, Jed Maegraith, Camulus Member",Spectre: Genesis,English,19000.0,1240261.6,AU,Spring,None,Low Budget,0,0,
the ballad of alan batman,4/7/2023,0,,"A burnt-out sound mixer has spent his entire life listening to others. But after discovering an old recording from his childhood, he questions his old life and aspires to become the person he’s always dreamed of.","Joey Herman, Charles, Ridley Knight, Alan Batman, Tayler Beth Anderson, Chrissy, Jake Jeffers, Ben, Emma Grey, Skylar, Kjersti Strandness, Alex, Mark Ferrando, Grip, Alex Kravitz, Pistol, Jeff Santos, Ray",The Ballad of Alan Batman,English,167540000.0,175269998.8,US,Spring,None,Big Budget,0,1,
grosso guaio all'esquilino - la leggenda del kung fu,4/6/2023,54,Comedy,"Davide is a shy and nerdy thirteen-year-old who lives with his mother Asia in Rome, in the Esquilino district. He spends his days with his friend Yang, constantly trying to escape from the school bully, Nadir, and dreams of winning Yasmin's heart. Davide tries to regain self-confidence thanks to the arrival in his life of Martino, a failed B-Movie actor who, in order to survive, pretends to be the supreme connoisseur of the martial art of Kung Fu.","Lillo Petrolo, Martino, Carolina Crescentini, Asia, Riccardo Antonaci, Davide, Ludovica Nasti, Yasmin, Yoon C. Joyce, Achille, Ismaelchrist Carlotti, Nadir, Mario Luciani, Yang, Giorgio Colangeli, Nando",Grosso guaio all'Esquilino - La leggenda del Kung Fu,Italian,76000000.0,152911218.6,IT,Spring,None,Mid Budget,0,0,
teenage mutant ninja turtles: mutant mayhem,8/4/2023,0,"Comedy, Animation, Family, Action, Adventure","After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a notorious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.","Nicolas Cantu, Leonardo (voice), Shamon Brown Jr., Michelangelo (voice), Micah Abbey, Donatello (voice), Brady Noon, Raphael (voice), Jackie Chan, Splinter (voice), Ayo Edebiri, April O'Neil (voice), Ice Cube, Superfly (voice), Seth Rogen, Bebop (voice), John Cena, Rocksteady (voice)",Teenage Mutant Ninja Turtles: Mutant Mayhem,English,211940000.0,178359863.0,US,Summer,None,Big Budget,0,0,
black and blue,5/6/2020,68,"Action, Crime, Drama, Thriller","A rookie cop inadvertently captures the murder of a young drug dealer on her body cam. After realizing that the murder was committed by corrupt cops, she teams up with the one person from her community who is willing to help her as she tries to escape both the criminals out for revenge and the police who are desperate to destroy the incriminating footage.","Naomie Harris, Alicia West, Tyrese Gibson, Milo 'Mouse' Jackson, Frank Grillo, Terry Malone, Mike Colter, Darius, Reid Scott, Kevin, Beau Knapp, Smitty, Nafessa Williams, Missy, James Moses Black, Officer Deacon Brown, Carsyn Taylor, Jamal",Black and Blue,English,12000000.0,22730144.0,AU,Spring,None,Low Budget,0,1,
morgue,5/11/2021,71,Horror,"On his first day as a security guard, Diego Martinez is assigned to the night shift at the Hospital Regional. On his rounds, he notices the hallways can be unsettling at night until he accidentally notices he’s trapped inside the morgue.","Pablo Martínez, Diego Martínez, Francisco Ayala, , Willy Villalba,",Morgue,"Spanish, Castilian",78300000.0,349714816.8,US,Spring,None,Mid Budget,0,1,
gaia,8/13/2021,60,"Horror, Fantasy, Drama",A park ranger takes shelter with two survivalists after an attack by mysterious creatures in a primordial forest.,"Monique Rockman, Gabi, Carel Nel, Barend, Alex van Dyk, Stefan, Anthony Oseyemi, Winston",Gaia,English,130600000.0,508931823.2,AU,Summer,None,Mid Budget,0,0,
stepmom's desire,5/29/2020,63,"Drama, Romance","Sang-jin, who was envious of her neighbor after getting a beautiful wife, Ask your wife's friend Gian to take over the son's extracurricular teacher, Sang-jin, who left work early, accidentally sees Gian's shower. A man who wants to have sex with his son's tutor, And a son who wants to have a good time with a young stepmom, Ji-an and Jin-hee, who want money, are disappointed with her husband, and Bin-jin gives her body to a young son.","Lee Soo, , Tae Hee, , James, , Jung In,",새엄마의 욕망,Korean,120000000.0,303727772.6,KR,Spring,None,Mid Budget,0,1,
jesus revolution,4/20/2023,68,Drama,"In the 1970s, aimless teenager Greg Laurie searches for all the right things in all the wrong places until he meets Lonnie Frisbee, a charismatic hippie/street preacher. Together with local pastor Chuck Smith, they open the doors of a languishing church to an unexpected revival.","Joel Courtney, Greg Laurie, Kelsey Grammer, Chuck Smith, Jonathan Roumie, Lonnie Frisbee, Kimberly Williams-Paisley, Charlene, Anna Grace Barlow, Cathe Martin, Julia Campbell, Kay Smith, Alexia Ioannides, Janette Smith, Matthew Montemaro, Trent, DeVon Franklin, Josiah",Jesus Revolution,English,15000000.0,52010708.0,AU,Spring,None,Low Budget,0,0,
the marriage app,12/7/2022,63,"Romance, Comedy","Tangled in a troubled marriage, a frustrated couple finds hope in a watch-based app that rewards good deeds — until unhealthy obsessiveness takes over.","Luisana Lopilato, Belén, Juan Minujín, Federico, Betiana Blum, Alicia, Andrea Rincón, Juana, Cristina Castaño, Milan, Santiago Gobernori, Renato, Julián Lucero, Gonza, Aylen Malisani, Mica, Vicente Archain, Toto",Matrimillas,"Spanish, Castilian",142500000.0,341774820.8,AR,Winter,New Year's Week,Mid Budget,0,0,
scooby-doo! the sword and the scoob,3/1/2021,77,"Animation, Comedy, Family, Mystery, Adventure, Fantasy","An evil sorceress transports the gang back to the age of chivalrous knights, spell-casting wizards, and fire-breathing dragons.","Grey DeLisle, Daphne Blake (voice), Stephen Stanton, Peanut Vendor (voice), Kari Wahlgren, Female Peasent (voice), Frank Welker, Scooby-Doo / Fred Jones / Monster (voice), Kate Micucci, Velma Dinkley / Sandi (voice), Matthew Lillard, Shaggy Rogers (voice), Nick Frost, Merlin (voice), Greg Ellis, Herald / Herman Ellinger / British Passenger (voice), Jason Isaacs, King Arthur Pendragon (voice)",Scooby-Doo! The Sword and the Scoob,English,139200000.0,646339835.6,AU,Spring,None,Mid Budget,0,0,
the perfumier,9/21/2022,45,"Drama, Crime, Mystery, Thriller","To regain her sense of smell and get back her lover, a detective joins forces with a perfume maker who uses deadly methods to create the perfect scent.","Emilia Schüle, , Ludwig Simon, , Sólveig Arnarsdóttir, , Anne Müller, Rex, Robert Finster, , August Diehl,",Der Parfumeur,German,134300000.0,862567677.4,DE,Autumn,None,Mid Budget,0,1,
the empty man,12/4/2020,62,"Horror, Mystery, Thriller","Retired cop James Lasombra is asked by a friend to investigate the disappearance of her daughter, who seemingly packed in the night and left an ominous message on the bathroom mirror - ""The Empty Man Made Me Do It."" As he investigates this mysterious figure further, James begins to see and hear strange things, and is forced to come to terms with his past and what it means for his future.","James Badge Dale, James Lasombra, Marin Ireland, Nora Quail, Sasha Frolova, Amanda Quail, Samantha Logan, Davara Walsh, Evan Jonigkeit, Greg, Virginia Kull, Ruthie, Robert Aramayo, Garrett, Ron Canada, Detective Villiers, Jessica Matten, Fiona",The Empty Man,English,16000000.0,4796993.0,AU,Winter,New Year's Week,Low Budget,0,0,
この小さな手,4/8/2023,0,,"Based on the manga of the same name by Mamora Goda, a manga artist known for works such as Kirakira Hikaru, this human drama depicts a father who has no interest in his daughter and a daughter who has forgotten her father.","Kouhei Takeda, , 佐藤恋和,",この小さな手,Japanese,167540000.0,175269998.8,JP,Spring,None,Big Budget,0,1,
a perfect pairing,5/19/2022,69,"Comedy, Romance","To land a major client, an LA wine exec travels to an Australian sheep station, where she signs on as a ranch hand and hits it off with a rugged local.","Victoria Justice, Lola, Adam Demos, Max, Luca Sardelis, Breeze, Craig Horner, Calder, Lucy Durack, Audra, Alex Neal, Tim, Veronica Neave, Diane, Joel Spreadborough, Bartender Ian, Emma Randall, Buyer",A Perfect Pairing,English,73480000.0,372756516.0,US,Spring,None,Mid Budget,0,1,
